frame,time_s,raw_yaw_deg,raw_pitch_deg,raw_screen_x,raw_screen_y,filtered_x,filtered_y,final_x,final_y,speed,locked,ear_avg,blink_click,fwd_x,fwd_y,fwd_z
120,7.7408,181.9708,208.0873,1406.1,-1302.3,1409.8,-1308.0,1382.4,10.0,1.48,1,0.2762,0,0.030344,0.470600,0.881825
121,7.7888,181.9900,208.0497,1407.4,-1299.6,1409.1,-1303.4,1382.4,10.0,0.64,1,0.2769,0,0.030650,0.470016,0.882126
122,7.8324,181.9761,208.0863,1406.5,-1302.2,1408.5,-1302.9,1382.4,10.0,0.61,1,0.2799,0,0.030426,0.470583,0.881831
123,7.8825,182.0468,208.0852,1411.0,-1302.1,1409.0,-1302.6,1382.4,10.0,0.44,1,0.2810,0,0.031515,0.470551,0.881810
124,7.9306,182.0968,208.0545,1414.2,-1299.9,1409.4,-1301.6,1382.4,10.0,0.42,1,0.2808,0,0.032294,0.470066,0.882040
125,7.9773,182.1065,208.0359,1414.8,-1298.6,1409.5,-1300.6,1382.4,10.0,0.08,1,0.2816,0,0.032449,0.469777,0.882188
126,8.0260,182.0502,208.1595,1411.2,-1307.5,1409.5,-1302.1,1382.4,10.0,0.06,1,0.2820,0,0.031546,0.471693,0.881199
127,8.0753,182.0938,208.2713,1414.0,-1315.5,1409.9,-1302.5,1382.4,10.0,0.39,1,0.2827,0,0.032182,0.473402,0.880259
128,8.1214,182.0851,208.2543,1413.4,-1314.3,1410.3,-1304.0,1382.4,10.0,0.38,1,0.2828,0,0.032053,0.473142,0.880403
129,8.1696,182.0913,208.2613,1413.8,-1314.8,1410.8,-1306.4,1382.4,10.0,0.46,1,0.2836,0,0.032147,0.473249,0.880342
130,8.2182,182.2624,208.1411,1424.8,-1306.2,1414.2,-1306.3,1382.4,10.0,3.41,1,0.2381,0,0.034816,0.471359,0.881254
131,8.2652,182.6202,208.0614,1447.7,-1300.4,1428.2,-1305.9,1382.4,10.0,14.02,1,0.1884,0,0.040351,0.470035,0.881725
132,8.3139,182.6706,207.4344,1450.9,-1255.3,1439.0,-1285.2,1382.4,10.0,10.81,1,0.2020,0,0.041363,0.460338,0.886779
133,8.3620,182.5116,207.5615,1440.7,-1264.4,1439.7,-1275.8,1382.4,10.0,0.73,1,0.2114,0,0.038857,0.462351,0.885845
134,8.4088,182.4153,207.5316,1434.6,-1262.3,1438.1,-1269.7,1382.4,10.0,1.63,1,0.2142,0,0.037378,0.461914,0.886137
135,8.4559,181.9946,207.1741,1407.7,-1236.5,1435.9,-1252.3,1382.4,10.0,2.24,1,0.2189,0,0.030967,0.456477,0.889196
136,8.5013,181.5720,206.4439,1380.6,-1184.0,1410.8,-1208.5,1410.8,10.0,25.08,0,0.2204,0,0.024564,0.445186,0.895101
137,8.5472,181.3624,206.0219,1367.2,-1153.6,1386.4,-1170.9,1386.4,10.0,24.33,0,0.2232,0,0.021367,0.438615,0.898421
138,8.5945,181.7702,205.0753,1393.3,-1085.4,1389.7,-1107.0,1389.7,10.0,3.26,0,0.2436,0,0.027982,0.423643,0.905397
139,8.6395,181.6055,204.3914,1382.8,-1036.2,1386.7,-1053.2,1386.7,10.0,3.02,0,0.2489,0,0.025518,0.412834,0.910449
140,8.6856,181.5336,203.6327,1378.1,-981.6,1383.1,-997.4,1383.1,10.0,3.60,0,0.2587,0,0.024519,0.400751,0.915859
141,8.7314,181.8905,202.3483,1401.0,-889.1,1387.4,-909.7,1387.4,10.0,4.27,0,0.2560,0,0.030514,0.380059,0.924459
142,8.7776,181.9581,200.4509,1405.3,-752.5,1387.5,-776.5,1387.5,10.0,0.20,0,0.2576,0,0.032017,0.349226,0.936491
